restaurant_id,name,city,state,cuisine_type,price_band,rating,review_count,address,postal_code,source_url,has_menu,date_accessed
172171,Del Frisco’s Double Eagle Steakhouse – Orlando,Orlando,FL,Steakhouse,$50 and over,4.6,363,9150 International Drive,32819,https://www.opentable.com/restaurant/profile/172171,False,2026-01-24T18:04:41.618141
214900,Bahama Breeze - Orlando - Lake Bryan,Orlando,FL,"Bar / Lounge / Bottle Service, Seafood, Caribbean",$30 and under,4.7,58,8735 Vineland Ave,32821,https://www.opentable.com/restaurant/profile/214900,False,2026-01-24T18:04:41.618566
10030,Ciao Italia Ristorante,Orlando,FL,"Italian, Seafood, Farm-to-table",$30 and under,4.5,124,6149 Westwood blvd,32821,https://www.opentable.com/restaurant/profile/10030,False,2026-01-24T18:04:41.618571
1263871,Solita Tacos & Margaritas - Orlando,Orlando,FL,Mexican,$30 and under,4.0,85,222 S Orange Ave,32801,https://www.opentable.com/restaurant/profile/1263871,False,2026-01-24T18:04:41.618575
1178101,The Monroe Orlando,Orlando,FL,American,$30 and under,4.8,166,448 N Terry Ave,32801,https://www.opentable.com/restaurant/profile/1178101,False,2026-01-24T18:04:41.618580
1411213,BarkHaven,Orlando,FL,Contemporary American,$30 and under,4.8,34,724 Brookhaven Dr,32803,https://www.opentable.com/restaurant/profile/1411213,True,2026-01-24T18:04:41.618584
23929,K restaurant,Orlando,FL,"Contemporary American, American, Farm-to-table",$31 to $50,4.6,3677,1710 Edgewater Dr.,32804,https://www.opentable.com/restaurant/profile/23929,True,2026-01-24T18:04:41.618901
1412698,Hinabe,Orlando,FL,Asian,$31 to $50,4.8,15,7988 Via Dellagio Way,32819-5424,https://www.opentable.com/restaurant/profile/1412698,True,2026-01-24T18:04:41.619335
21205,Taverna Opa - Orlando,Orlando,FL,"Steakhouse, Mediterranean, Greek",$30 and under,4.7,184,9101 International Drive,32819,https://www.opentable.com/restaurant/profile/21205,False,2026-01-24T18:04:41.619706
1008664,The H Orlando,Orlando,FL,"Steakhouse, Seafood, Mediterranean",$50 and over,4.7,263,"7512 Dr. Phillips Blvd, #80",32819,https://www.opentable.com/restaurant/profile/1008664,True,2026-01-24T18:04:41.619711
25453,Ocean Prime - Orlando,Orlando,FL,"Steak, Seafood",$50 and over,4.8,482,7339 W. Sand Lake Road #400,32819,https://www.opentable.com/restaurant/profile/25453,False,2026-01-24T18:04:41.620334
1340047,Trabucco,Orlando,FL,Italian,$30 and under,4.6,50,6001 Destination Pkwy,32819,https://www.opentable.com/restaurant/profile/1340047,True,2026-01-24T18:04:41.620339
15073,Maggiano's - Orlando,Orlando,FL,"Steakhouse, Italian, American",$30 and under,4.7,464,9101 International Drive,32819,https://www.opentable.com/restaurant/profile/15073,True,2026-01-24T18:04:41.620475
1397407,Leiah,Orlando,FL,"Contemporary American, Contemporary European, Contemporary Latin",$31 to $50,4.5,48,401 N Magnolia Ave,32801-1524,https://www.opentable.com/restaurant/profile/1397407,False,2026-01-24T18:04:41.621843
72277,deep blu Seafood Grille and Sushi,Orlando,FL,"Sushi, Steak, Seafood",$31 to $50,4.1,41,14651 Chelonia Parkway,32821,https://www.opentable.com/restaurant/profile/72277,True,2026-01-24T18:04:41.621848
1066189,Knife & Spoon,Orlando,FL,"Steak, Seafood, American",$50 and over,4.7,244,4012 Central Florida Pkwy,32837,https://www.opentable.com/restaurant/profile/1066189,False,2026-01-24T18:04:41.621862
146170,"Cooper’s Hawk Winery & Restaurant – Orlando – I-Drive, FL",Orlando,FL,"Wine Bar, Seafood, American",$30 and under,4.6,586,8005 International Dr,32819,https://www.opentable.com/restaurant/profile/146170,True,2026-01-24T18:04:41.621866
101470,"Vito's Chop House-Orlando, FL",Orlando,FL,"Steakhouse, Italian, Seafood",$31 to $50,4.7,266,8633 International Dr,32819,https://www.opentable.com/restaurant/profile/101470,False,2026-01-24T18:04:41.634715
1376569,Rock & Brews - Lee Vista,Orlando,FL,"Burgers, American, Cocktail Bar",$30 and under,4.6,45,6897 S Semoran Blvd,32822,https://www.opentable.com/restaurant/profile/1376569,False,2026-01-24T18:04:41.635675
1026628,Bites & Bubbles,Orlando,FL,"European, Contemporary French / American, Contemporary American",$31 to $50,4.8,68,1618 N Mills Ave,32803,https://www.opentable.com/restaurant/profile/1026628,False,2026-01-24T18:04:41.635679
8061,The Venetian Chop House - Caribe Royale,Orlando,FL,"Steakhouse, Wine Bar, Seafood",$50 and over,4.5,62,8101 World Center Drive,32821,https://www.opentable.com/restaurant/profile/8061,True,2026-01-24T18:04:41.635683
1044370,Bocas Grill Orlando,Orlando,FL,"Peruvian, Latin American, Contemporary Latin",$31 to $50,4.7,23,7600 Dr Phillips Blvd  Ste 22,32819-7232,https://www.opentable.com/restaurant/profile/1044370,True,2026-01-24T18:04:41.635834
1080970,Aurora,Orlando,FL,Contemporary American,$30 and under,4.7,111,4105 N Alafaya Trail,32826,https://www.opentable.com/restaurant/profile/1080970,True,2026-01-24T18:04:41.636385
1039183,Mia’s Italian Kitchen - Orlando,Orlando,FL,Italian,$30 and under,4.6,382,8717 International Dr,32819,https://www.opentable.com/restaurant/profile/1039183,True,2026-01-24T18:04:41.636612
1051864,Galeria,Orlando,FL,"Steak, Seafood, American",$30 and under,4.1,290,4979 New Broad St,32814,https://www.opentable.com/restaurant/profile/1051864,True,2026-01-24T18:04:41.637731
1328125,Ceiba,Orlando,FL,Mexican,$50 and over,4.7,215,1500 Eastbeach Way,32836-6618,https://www.opentable.com/restaurant/profile/1328125,True,2026-01-24T18:04:41.637896
1355812,Citrus Club Orlando,Orlando,FL,"Seafood, American",$31 to $50,4.7,47,255 S Orange Ave STE 1800,32801,https://www.opentable.com/restaurant/profile/1355812,False,2026-01-24T18:04:41.637998
1157752,Marlow's Tavern - Lee Vista,Orlando,FL,American,$30 and under,4.6,25,6889 Eagle Watch Dr 235,32822,https://www.opentable.com/restaurant/profile/1157752,False,2026-01-24T18:04:41.638001
53344,Buca di Beppo - Florida Mall FL,Orlando,FL,Italian,$30 and under,4.5,49,8001 S Orange Blossom Trail,32809,https://www.opentable.com/restaurant/profile/53344,False,2026-01-24T18:04:41.638532
101494,"Charley’s Steak House-Orlando, FL",Orlando,FL,"Steakhouse, Fine cuts, Seafood",$50 and over,4.7,419,8255 International Dr,32819,https://www.opentable.com/restaurant/profile/101494,False,2026-01-24T18:04:41.638536
