restaurant_id,name,address,city,state,website_url,price_level,rating,review_count,Maps_link
ChIJhY9j5894bIcRZyWZLZfchCw,EDGE Restaurant & Bar,"1111 14th St, Denver, CO 80202",Denver,CO,https://www.edgerestaurantdenver.com/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-den-fab-mid-seo-na&utm_content=na-na&utm_term=na,PRICE_LEVEL_EXPENSIVE,4.5,1074,https://maps.google.com/?cid=3207931376457819495&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJtcachtF5bIcRZsMfPFA72Ks,Alma Fonda Fina,"2556 15th St, Denver, CO 80211",Denver,CO,https://www.almalohidenver.com/,,4.8,896,https://maps.google.com/?cid=12382712391247315814&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJL2TJFlJ-bIcRENgfRp3uELQ,Sushi Den,"1487 S Pearl St, Denver, CO 80210",Denver,CO,http://www.sushiden.net/,PRICE_LEVEL_EXPENSIVE,4.7,5118,https://maps.google.com/?cid=12975132885708167184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ5fIM0MN4bIcRb-fymS7_krs,Tavernetta,"1889 16th St Mall, Denver, CO 80202",Denver,CO,https://www.tavernettadenver.com/,PRICE_LEVEL_EXPENSIVE,4.6,2434,https://maps.google.com/?cid=13516146007308691311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJj0Z90il_bIcRb_qs7nYRi1k,DiFranco's,"955 Lincoln St D, Denver, CO 80203",Denver,CO,https://difrancos.com/,PRICE_LEVEL_MODERATE,4.6,761,https://maps.google.com/?cid=6452270093646494319&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJa8LR2bx-bIcRKq_mJTlas_Q,Barolo Grill,"3030 E 6th Ave, Denver, CO 80206",Denver,CO,https://www.barologrilldenver.com/,PRICE_LEVEL_VERY_EXPENSIVE,4.7,1093,https://maps.google.com/?cid=17632536167581134634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJu-mW5St5bIcRmFpCS-fM6MA,Ace Eat Serve,"501 E 17th Ave, Denver, CO 80203",Denver,CO,http://www.aceeatserve.com/,PRICE_LEVEL_MODERATE,4.3,1903,https://maps.google.com/?cid=13900585543651187352&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJYYcJUNZ-bIcR9E5nedC2hmk,Charlie Brown's Bar & Grill,"980 Grant St, Denver, CO 80203",Denver,CO,http://www.charliebrownsbarandgrill.com/,PRICE_LEVEL_MODERATE,4.4,1588,https://maps.google.com/?cid=7603966027367927540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ_ZFqTkV5bIcRYw4dCueT5eI,The Velvet Cellar,"1500 Wynkoop St #101, Denver, CO 80202",Denver,CO,https://thevelvetcellar.net/?utm_source=google+business+profile&utm_medium=organic,,4.6,371,https://maps.google.com/?cid=16349636642754858595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ2XKiyy15bIcRkeJQnCY2bA8,Watercourse Foods,"837 E 17th Ave, Denver, CO 80218",Denver,CO,https://www.watercoursefoods.com/,PRICE_LEVEL_MODERATE,4.6,4818,https://maps.google.com/?cid=1111322747512873617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJpZERZMN4bIcRBzONa01GT7E,Urban Farmer Denver,"1659 Wazee St, Denver, CO 80202",Denver,CO,https://www.urbanfarmersteakhouse.com/,PRICE_LEVEL_EXPENSIVE,4.5,1915,https://maps.google.com/?cid=12776507966204228359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJD6avbcV4bIcRTCc7gSIwm-0,Rioja,"1431 Larimer St, Denver, CO 80202",Denver,CO,http://www.riojadenver.com/,PRICE_LEVEL_EXPENSIVE,4.6,2282,https://maps.google.com/?cid=17121331333134231372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ_____8J4bIcR2rDXgecbyOQ,The Kitchen American Bistro,"1560 Wazee St, Denver, CO 80202",Denver,CO,https://www.thekitchen.com/location/the-kitchen-bistros-denver/,PRICE_LEVEL_EXPENSIVE,4.5,1470,https://maps.google.com/?cid=16485457117119492314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
